Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
8193,,,0,3,3,0,3,3,12,0.185823,0.205771,522.810295,0,0
8219,,,0,3,3,0,3,3,12,0.203859,0.23632,1372.221766,0,0
150278,,,0,3,3,0,3,3,12,0.20284,0.234401,591.653646,0,0
175319,,,0,3,3,0,3,3,12,0.20284,0.234401,591.653646,0,0
19402,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
23062,,,0,1,1,0,1,1,13,0.17072,0.187248,0,0,0
23577,,,0,2,2,0,2,2,12,0.202444,0.233258,291.634445,0,0
24621,,,2,0,2,2,0,2,13,0.170411,0.188389,2070,0,0
163977,,,0,1,1,0,1,1,1,1,1,0,0,0
27937,,,1,0,1,1,0,1,1,1,1,0,0,0
165052,,,0,2,2,0,2,2,14,0.145395,0.156306,1372.099673,0,0
66278,,,3,0,3,3,0,3,13,0.16913,0.186227,5407.3403,0,0
150139,,,2,0,2,2,0,2,15,0.129268,0.138251,133.207271,0,0
64891,,,0,3,3,0,3,3,13,0.171355,0.19112,256.837586,0,0
28676,,,1,3,4,1,3,4,12,0.203718,0.236047,2919.01347,0,0
12868,,,0,1,1,0,1,1,12,0.157156,0.168882,0,0,0
61171,,,0,2,2,0,2,2,12,0.194023,0.211236,6417.946558,0,0
65708,,,0,2,2,0,2,2,12,0.200698,0.230799,2247.381368,0,0
21519,,,0,1,1,0,1,1,12,0.191458,0.20773,0,0,0
10033,,,0,2,2,0,2,2,14,0.14796,0.16231,43.947492,0,0
28303,,,0,3,3,0,3,3,12,0.202761,0.23447,1211.97753,0,0
62225,,,1,1,2,1,1,2,13,0.170734,0.187489,0,1,1
61060,,,0,4,4,0,4,4,12,0.201655,0.232765,7079.036056,0,0
2113,,,0,3,3,0,3,3,12,0.202761,0.23447,1211.97753,0,0
12378,,,0,2,2,0,2,2,14,0.14796,0.16231,43.947492,0,0
24032,,,0,1,1,0,1,1,14,0.146485,0.158727,0,0,0
6376,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
28450,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
